Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.childreport.json	7376	-	0	0	0	0	0	0	10	77	0	0	0	0	0	0	0	0	0	0	0	86	104	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-cs-child-report-documentation.json	2362	4	0	0	2	0	1	0	1	10	0	0	1	0	0	0	0	0	0	0	0	26	130	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-eye-movement-and-position.json	683	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	93	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeChildReportComposition.json	13239	7	0	126	1	0	0	0	1	167	0	0	0	0	0	1	0	4	0	0	0	660	2152	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-BeModelChildReport.json	27790	12	0	52	0	0	0	0	0	101	0	0	1	0	0	0	0	1	0	0	0	467	646	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-be-childreport.json	39653	11	0	518	0	0	0	0	1	400	0	0	2	0	0	0	0	12	0	0	0	3759	6349	0	0	0	122	1	9
fsh-generated/resources/ValueSet-vs-eye-movement-and-position.json	1050	2	0	0	0	0	0	1	0	420	0	0	0	0	0	0	0	0	0	0	0	13	404	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-eye-screening-results.json	897	1	0	0	0	0	0	0	1	202	0	0	0	0	0	0	0	0	0	0	0	11	267	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-neonatal-hearing-screening-results.json	959	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	57	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-ophthalmologist-treatments.json	864	1	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	9	255	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1206	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	648	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	5	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/changes.xml	654	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-BeChildReportComposition-intro.md	109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ChildReport-notes.md	55	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/CodeSystem-CSChildReportDocumentation-intro.md	101	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-ChildReport-intro.md	109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/background.xml	271	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
/input/pagecontent/index.md	8328	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	46	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/childrecordmodel.png	20907	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	8056	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
